Område;Bebyggelsetyp;År;Åldersgrupp;Summa
10101 - Storkyrkan;befintlig bebyggelse;2027;6-9 år;71,56018968
10101 - Storkyrkan;befintlig bebyggelse;2027;10-12 år;49,85702246
10101 - Storkyrkan;befintlig bebyggelse;2027;13-15 år;72,02676927
10101 - Storkyrkan;befintlig bebyggelse;2027;16-18 år;86,99107536
10101 - Storkyrkan;befintlig bebyggelse;2027;19-24 år;180,8665595
10101 - Storkyrkan;befintlig bebyggelse;2027;25-44 år;743,0353696
10101 - Storkyrkan;befintlig bebyggelse;2027;45-64 år;909,9853545
10101 - Storkyrkan;befintlig bebyggelse;2027;65-79 år;555,1123836
10101 - Storkyrkan;befintlig bebyggelse;2027;80-w;253,1749216
10101 - Storkyrkan;befintlig bebyggelse;2028;0 år;21,26208737
10101 - Storkyrkan;befintlig bebyggelse;2028;1-5 år;97,74397634
10101 - Storkyrkan;befintlig bebyggelse;2028;6-9 år;69,08961586
10101 - Storkyrkan;befintlig bebyggelse;2028;10-12 år;51,94872088
10101 - Storkyrkan;befintlig bebyggelse;2028;13-15 år;65,00361384
10101 - Storkyrkan;befintlig bebyggelse;2028;16-18 år;84,7660371
10101 - Storkyrkan;befintlig bebyggelse;2028;19-24 år;179,5956387
10101 - Storkyrkan;befintlig bebyggelse;2028;25-44 år;746,9537249
10101 - Storkyrkan;befintlig bebyggelse;2028;45-64 år;880,3433141
10101 - Storkyrkan;befintlig bebyggelse;2028;65-79 år;549,3206884
10101 - Storkyrkan;befintlig bebyggelse;2028;80-w;276,9375454
10101 - Storkyrkan;befintlig bebyggelse;2029;0 år;21,48792725
10101 - Storkyrkan;befintlig bebyggelse;2029;1-5 år;98,37579157
10101 - Storkyrkan;befintlig bebyggelse;2029;6-9 år;67,38262289
10101 - Storkyrkan;befintlig bebyggelse;2029;10-12 år;55,33452362
10101 - Storkyrkan;befintlig bebyggelse;2029;13-15 år;53,15294999
10101 - Storkyrkan;befintlig bebyggelse;2029;16-18 år;84,83715658
10101 - Storkyrkan;befintlig bebyggelse;2029;19-24 år;180,5293812
10101 - Storkyrkan;befintlig bebyggelse;2029;25-44 år;751,791016
10101 - Storkyrkan;befintlig bebyggelse;2029;45-64 år;838,8110264
