Datum/Klockslag,Titel,Beskrivning
2020-04-03T09:00:00+02:00,Aktuellt från Lomma kommun,I helgen hittar du samhällsinformation från Lomma kommun i Lokaltidningen Lomma/Bjärred på mittuppslaget.
2020-03-03T10:31:26+01:00,Bullerutredning vid Lommabanan,Utbyggnaden av Lommabanan leder till många frågor om buller. Nu har beslutet om att Trafikverket ska undersöka vilka bullerdämpande åtgärder som behöver göras vid fastigheter längs med Lommabanan vunnit laga kraft.
2020-02-14T11:43:30+01:00,Unika framtidsmöjligheter för Alnarp genom beslut om station och markköp,"Under kommunfullmäktiges sammanträde den 13 februari, fattades ett antal beslut som kommer att ha stor inverkan på den framtida utformningen av vår kommun."
2020-02-07T11:00:45+01:00,Aktuellt från Lomma kommun,I helgen hittar du samhällsinformation från Lomma kommun i Lokaltidningen Lomma/Bjärred på mittuppslaget.
2020-01-30T09:02:16+01:00,Aktuellt från kommunstyrelsen den 29 januari 2020,Ett avtal för byggnation av en tågstation i Alnarp och ett beslut om att Lomma kommun ska sälja fribyggartomter på den öppna marknaden − det var några av ärendena som kommunstyrelsen behandlade den 29 januari. Här kommer en sammanfattning av dessa.
2020-01-24T15:11:20+01:00,Hjälp för unga med drog- eller alkoholproblem,"Kommuninvånare som ännu inte har fyllt 24 år och som har problem med alkohol och droger kan få information, rådgivning och behandling på Mariamottagningen i Lund."
2019-11-18T10:00:00+01:00,Tomt- och småhuskö upphör,Kommunfullmäktige i Lomma fattade den 5 september 2019 ett beslut som innebär att den kommunala tomt- och småhuskön upphörde den 11 oktober 2019.
2019-09-26T12:22:12+02:00,Förslag till arbete med vägledning för nyanlända,Socialförvaltningen har fått i uppdrag att ta fram ett förslag till att vägleda nyanlända till eget boende. Det tillfälliga boende som nyanlända hänvisas till i kommunen föreslås bli tidsbegränsat. Detta innebär att Lomma kommun kommer att arbeta mer aktivt i arbetet med att stödja nyanlända i processen att hitta eget boende.
2019-04-24T09:22:35+02:00,Vision för förskola och grundskola framtagen,"Förvaltningen för utbildning, kost, kultur och fritid har utifrån Lomma kommuns övergripande vision arbetat fram en preciserad vision för förskola och grundskola: Tillsammans i samtid för varje barns framtid ."
2019-04-11T09:24:13+02:00,Vem fixar alla parkbänkar fina?,Personalen på Kraftkällan önskar er många trevliga stunder på bänkarna i sommar. Med en liten film!
2019-03-20T12:54:53+01:00,Ny vision för Lomma kommun,Kommunfullmäktige har beslutat om en ny vision för Lomma kommun med sikte på år 2040. Samtidigt har också nya övergripande mål för perioden 2019-2022 tagits fram.
2019-02-18T10:00:00+01:00,Gör det inte svårare...,Det behöver inte vara så komplicerat att göra en insats för miljön. Allt du behöver göra är att lägga ditt matavfall i påsen och lämna i rätt fack!
2019-02-08T14:35:29+01:00,Aktuellt från kommunstyrelsen – februari 2019,"Alnarpsparken och Västerskog får stöd för skötsel, yttrande över Region Skånes förslag till Trafikförsörjningsprogram och uppföljning av bostadsbyggande och befolkningsutveckling i Lomma kommun 2018 var några av ärendena som behandlades på kommunstyrelsens möte den 6 februari. Här finns en kort sammanfattning av dessa."
2018-12-19T11:06:00+01:00,Vinnare utsedda i arkitekttävlingen Framtidens Bjärred – en ny stadsdel i Lomma kommun,"Lomma kommun bjöd i våras in till en allmän projekttävling om utformning av Framtidens Bjärred, i samarbete med Sveriges Arkitekter. Nu är vinnarna utsedda!"
2018-08-31T11:08:12+02:00,Samverkan med hundägare mot bostadsinbrott,"Onsdagen den 5 september, kl 18.30, bjuds kommunens hundägare in till ett möte i kommunhuset, för att få veta mer om hur de kan vara till hjälp i det brottsförebyggande arbetet."
2018-08-28T11:56:42+02:00,Fullt hus när Mötesplats Bjärred invigdes,Måndagen den 27 augusti klipptes bandet till den nybyggda vinterträdgården som är en del av kommunens nya utökade mötesplats i Bjärred.
2018-04-16T10:34:58+02:00,Häckningsplattformar för skrattmåsar och tärnor,"För att främja häckningen av fågelarter som skrattmås, fisktärna och småtärna placeras häckningsplattformar ut i ett flertal av Lommas dammar."
2018-03-21T13:55:48+01:00,Gamla och nya medborgarlöften,Utifrån gemensamma medborgarlöften genomför kommun och polis insatser för att arbeta med lokala problem. Syftet är att öka medborgarnas trygghet och minska brottsligheten.
2018-02-08T12:48:12+01:00,Var rädd om dig på isen!,"Under vintern är det många som vill åka skridskor på vattendragen. Tänk på att det inte finns några säkra isar, men att vara säker på isen är ett måste för alla som vill ge sig ut."
