"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Södertälje (Västra Hölö omland-Vårdinge)","totalt","totalt",1845
"Södertälje (Östertälje-Gärtuna)","totalt","totalt",2103
"Södertälje (Östra Hölö omland-Mörkö)","totalt","totalt",1309
"Nacka (Alphyddan-Finntorp)","totalt","totalt",4599
"Nacka (Björknäs)","totalt","totalt",4439
"Nacka (Ektorp-Skuru)","totalt","totalt",5600
"Nacka (Fisksätra)","totalt","totalt",7935
"Nacka (Kvarnholmen-Henriksdal)","totalt","totalt",8874
"Nacka (Nacka centrala)","totalt","totalt",6817
"Nacka (Nacka strand-Jarlaberg)","totalt","totalt",4893
"Nacka (Nordvästra Boo)","totalt","totalt",2312
"Nacka (Nordöstra Boo)","totalt","totalt",3991
"Nacka (Orminge)","totalt","totalt",9279
"Nacka (Saltsjöbaden)","totalt","totalt",10786
"Nacka (Sickla)","totalt","totalt",5069
"Nacka (Storängen-Saltsjö Duvnäs)","totalt","totalt",5614
"Nacka (Sydöstra Boo)","totalt","totalt",5448
"Nacka (Södra Boo)","totalt","totalt",10702
"Nacka (Älta-Erstavik)","totalt","totalt",13128
"Sundbyberg (Centrala Sundbyberg Västra)","totalt","totalt",5244
"Sundbyberg (Centrala Sundbyberg Östra)","totalt","totalt",5762
"Sundbyberg (Duvbo-Tulemarken)","totalt","totalt",4560
"Sundbyberg (Hallonbergen Västra)","totalt","totalt",3822
"Sundbyberg (Hallonbergen Östra)","totalt","totalt",2417
"Sundbyberg (Lilla Alby)","totalt","totalt",7277
"Sundbyberg (Rissne)","totalt","totalt",8916
"Sundbyberg (Stora Ursvik Nordvästra)","totalt","totalt",1935
"Sundbyberg (Stora Ursvik Sydvästra)","totalt","totalt",1792
"Sundbyberg (Stora Ursvik-Kymlinge-Brotorp)","totalt","totalt",6922
"Sundbyberg (Storskogen-Ör)","totalt","totalt",5423
"Solna (Arenastaden)","totalt","totalt",2948
"Solna (Bagartorp-Agnesberg)","totalt","totalt",3768
"Solna (Centrala Huvudsta)","totalt","totalt",5502
"Solna (Filmstaden)","totalt","totalt",2208
"Solna (Frösunda)","totalt","totalt",6889
"Solna (Ingenting)","totalt","totalt",6123
"Solna (Järvastaden)","totalt","totalt",4671
"Solna (Kungshamra)","totalt","totalt",1932
"Solna (Norra Bergshamra)","totalt","totalt",2974
"Solna (Norra Hagalund-Haga norra)","totalt","totalt",3869
"Solna (Norra Hagastaden)","totalt","totalt",1399
"Solna (Norra Råsunda)","totalt","totalt",3968
"Solna (Nya Ulriksdal-Södra Ritorp)","totalt","totalt",2595
"Solna (Råstahem)","totalt","totalt",1313
"Solna (Skytteholm)","totalt","totalt",5528
"Solna (Solna centrum)","totalt","totalt",5180
"Solna (Södra Bergshamra)","totalt","totalt",3111
"Solna (Södra Hagalund)","totalt","totalt",1936
"Solna (Södra Huvudsta)","totalt","totalt",6090
"Solna (Södra Råsunda-Solna Business park)","totalt","totalt",6470
"Solna (Vasalund-Kyrkbacken)","totalt","totalt",5418
"Solna (Västra skogen-Pampas)","totalt","totalt",1558
"Lidingö (Baggeby-Bodal-Larsberg)","totalt","totalt",7033
"Lidingö (Bo-Ruboda-Bosön)","totalt","totalt",3561
"Lidingö (Brevik-Käppala-Gåshaga)","totalt","totalt",7723
"Lidingö (Dalénum-Skärsätra södra)","totalt","totalt",2770
"Lidingö (Elfvik-Duvholmen-Stora Höggarn)","totalt","totalt",1673
"Lidingö (Hersby-Herserud-Islinge södra)","totalt","totalt",5964
"Lidingö (Högsätra)","totalt","totalt",1656
"Lidingö (Lidingö centrum-Torsvik)","totalt","totalt",1647
"Lidingö (Näset)","totalt","totalt",3391
"Lidingö (Skärsätra norra)","totalt","totalt",1289
"Lidingö (Sticklinge-Storholmen-Islinge norra)","totalt","totalt",4288
"Lidingö (Stockby västra-Mosstorp-Bergsätra)","totalt","totalt",4493
"Lidingö (Stockby östra-Mölna-Ekholmsnäs)","totalt","totalt",2944
"Vaxholm (Edholma-Kullö)","totalt","totalt",1007
"Vaxholm (Resarö västra-Engarn-Storäng)","totalt","totalt",1686
"Vaxholm (Resarö östra)","totalt","totalt",1661
"Vaxholm (Rindö-Skarpö)","totalt","totalt",1860
"Vaxholm (Vaxön mitt)","totalt","totalt",1842
"Vaxholm (Vaxön västra-Bogesund)","totalt","totalt",2230
"Vaxholm (Vaxön östra-Ramsö-Tynningö)","totalt","totalt",1613
"Norrtälje (Bergshamra)","totalt","totalt",1516
"Norrtälje (Frötuna)","totalt","totalt",2577
"Norrtälje (Gransätra-Långgarn)","totalt","totalt",3428
"Norrtälje (Hallstavik tätort)","totalt","totalt",4714
"Norrtälje (Häverö)","totalt","totalt",1263
"Norrtälje (Kvisthamra)","totalt","totalt",1777
"Norrtälje (Lohärad-Estuna)","totalt","totalt",2777
"Norrtälje (Nordrona)","totalt","totalt",1650
"Norrtälje (Norrtälje centrala stad)","totalt","totalt",7676
"Norrtälje (Norrtälje södra stad)","totalt","totalt",2512
