Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
91529806,0181,5560840976,Scania Industrigymnasium,Vilande
21312503,0180,5566814801,Elektrikergymnasiet,Aktiv
74919147,1487,5564515988,"Fridagymnasiet, Vänersborg",Aktiv
61218902,0188,2120000217,Norrsund-Elmstaskolan,Vilande
56825396,1280,5568683923,Lilla Humfryskolan,Vilande
13578102,0186,5566116082,Animo Montessoriskola,Vilande
10152019,1060,2120000811,Vilshults skola,Vilande
13427671,0780,5565789129,Plusgymnasiet Växjö,Vilande
34068547,0180,2120000142,"Spånga gymnasium 91792285, sär",Vilande
14755768,1290,2120000951,Söderportgymnasiet 2,Vilande
72884578,0580,2120000449,Central Insamlingsenhet,Vilande
73240568,1257,2120000878,Central Insamlingsenhet,Vilande
47602351,2104,2120002296,"Björkhagsskolan, särvux",Vilande
15725933,2422,2120002585,Ro integrerade särskoleelever,Vilande
58641086,0114,2120000019,Hasselskolan,Vilande
89837629,1480,5562358993,GTI:s gymnasieskola,Aktiv
72495418,1482,8533006899,Tobiasskolan,Vilande
83409306,2580,2120002742,"Kv Lärkan, gy.särskola",Vilande
93934733,2580,2120002742,Kv Hackspetten gy.särskola,Vilande
15416514,0360,2120000266,Aspenskolan,Aktiv
35386625,0360,2120000266,Kyrkskolan,Aktiv
41675828,1283,5564629722,Ramlösa friskola,Aktiv
10402832,1277,2120000936,Kvidinge skola,Aktiv
69708752,1277,2120000936,Ro integrerade särskoleelever,Vilande
30762346,0180,5565851507,Nordiska Musikgymnasiet,Aktiv
79829846,0180,5566285994,REFIS Rörentr. friskola Sthlm,Aktiv
63045584,0123,2120000043,"SAM-gymnasiet, Järfälla",Vilande
50769996,1983,2120002114,Lärvux,Aktiv
24839129,0180,2120000142,Brännkyrka gymnasium 1,Vilande
31492531,0180,2120000142,Brännkyrka gymnasium,Vilande
52176022,0181,2120000159,Liljevalchs Intern.Läroverk,Vilande
98965233,0186,2120000191,Gångsätra gymnasium 2,Vilande
87982831,0581,2120000456,Ebersteinska gymnasiet,Vilande
93214005,0581,2120000456,Hagagymnasiet,Vilande
42434583,0120,2120000035,Brunns skola,Aktiv
64637887,1278,2120000944,Backaskolan,Vilande
21261275,1780,2120001850,Gruvlyckeskolan,Vilande
31994091,1780,2120001850,Hultsbergsskolan,Vilande
12957169,1884,2120002007,Särskolan,Vilande
26465476,1880,8750024070,Sv.finska språkskolan i Örebro,Vilande
71598226,0162,2120000126,samarbete med Täby,Vilande
21479146,1280,2120001124,Heleneholms gymnasium,Vilande
81687358,1293,2120000985,Linnéskolan,Vilande
65935328,1383,2120001249,Peder Skrivares sk Sektor 3a,Vilande
13666123,1499,2120001744,Ållebergsgymnasiet A Old,Vilande
57226310,2039,2120002197,Älvdalens gymnasieskola,Vilande
44166091,2084,2120002262,Karlfeldtgymnasiet ro 3,Vilande
36066067,0180,5565510756,Musikskolan Lilla Akademien,Aktiv
83374651,0180,5565510756,Lilla Akademiens Musikgymn.,Aktiv
22125461,2183,5566334537,Hälsogymnasiet,Vilande
89732023,2031,2120002171,Vikarbyns skola,Aktiv
23181842,2031,2120002171,Sätra skola,Aktiv
79572182,1280,2120001124,Komvux Malmö Borgarskolan Ro 2,Vilande
39129499,0180,8020111582,"Stiftelsen KFUM Söder Fryshuset, Fryshusets Handelsgymnasium",Vilande
20193442,1439,2120001421,"Vuxenutbildningen, SFI",Vilande
16629214,0139,5112150437,Distansspecialisten i Sverige komvux,Vilande
20369705,1285,2120001173,"Ansv. modersmålsundervis., BoF",Vilande
10001993,1285,2120001173,Kunskapshusets Resursskola,Vilande
94497860,1285,2120001173,Loftebyskolan 1-6,Vilande
75599398,0765,2120000647,Skolhälsovård,Vilande
59434075,1737,5566124458,Sörmarks skola,Vilande
51898223,1980,5565866000,Västerås Fria Gymnasium,Vilande
91512594,2034,2120002189,"Orsa Lärcentrum, gymnasiesk.",Vilande
73082118,1783,2120001884,Älvstranden bildn.centrum sär,Vilande
36789542,0180,8024127048,Bromma Folkhögskola,Vilande
33986569,1480,2120001355,Flexgruppen,Vilande
21749178,1490,2120001561,Viskaforsskolan F-6,Vilande
29976233,1490,2120001561,Sjöboskolan sär,Vilande
37489720,0180,5564654605,"InfoKompetens i Sverige AB, Komvux, SFI",Vilande
23618510,0180,2120000142,Nytorpsskolan,Vilande
56679384,1490,2120001561,Bäckängsgymnasiet C,Aktiv
55757580,1490,2120001561,Grundsärskolan Fjärding,Vilande
18213876,1260,5562009083,Forsärlans Miljöskola,Vilande
95219888,0380,5566945795,Kajan Friskola,Vilande
21113569,2309,2120002478,Ro integrerade särskoleelever,Vilande
10360193,0180,5569247264,Profilskolan,Aktiv
85220688,0180,5566453626,"Didaktus Utbildningar, komvux",Vilande
59480965,1784,2120001892,Central Insamlingsenhet Enskild verksamhet,Vilande
73048821,0583,2120002817,Elevvårdsenheten,Vilande
73985201,1490,5565668794,Drottning Blankas Frisörgymnasium Borås,Vilande
66977326,1293,2120000985,Central Insamlingsenhet Enskild verksamhet,Vilande
84612350,0581,5565715892,Erlaskolan Norrköping,Vilande
