Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
50249121;Kunskapsskolan Västerås F-6;Kunskapsskolan i Sverige Aktiebolag
29561775;Bjäkenbackens skola F-6;MORA KOMMUN
36539945;Dag Hammarskjöld Gymnasiet;STIFTELSEN KALMAR WALDORFSKOLA
16517618;Kalmar waldorfskola;STIFTELSEN KALMAR WALDORFSKOLA
31635779;Näsvikens skola;HUDIKSVALLS KOMMUN
44571484;Ånge resursskola;ÅNGE KOMMUN
51421576;Vuxenutbildningen Ånge;ÅNGE KOMMUN
14011098;Vuxenutbildningen Ånge, SFI;ÅNGE KOMMUN
86067569;Vuxenutbildningen Ånge, anpassad;ÅNGE KOMMUN
87989137;Agunnarydskolan;LJUNGBY KOMMUN
24113068;Bolmsöskolan;LJUNGBY KOMMUN
20756773;Ekebackenskolan;LJUNGBY KOMMUN
96506736;Kånna fritidshem;LJUNGBY KOMMUN
39704815;Vittarydskolan;LJUNGBY KOMMUN
68870324;Åbyskolan 1;LJUNGBY KOMMUN
34247736;Bromangymnasiet 1;HUDIKSVALLS KOMMUN
91306166;Bromangymnasiet 7;HUDIKSVALLS KOMMUN
30342921;Campus Västra Skaraborg, Essunga yrkesutbildning;LIDKÖPINGS KOMMUN
86418395;Campus Västra Skaraborg, Lidköping Yrkesutbildning;LIDKÖPINGS KOMMUN
42732107;Campus Västra Skaraborg Vara;LIDKÖPINGS KOMMUN
53155784;Tuns skola;LIDKÖPINGS KOMMUN
59324900;Salebyskolan;LIDKÖPINGS KOMMUN
31366755;Järpås skola;LIDKÖPINGS KOMMUN
72061202;Campus Västra Skaraborg, Lidköping Anpassad utbildning;LIDKÖPINGS KOMMUN
72323664;Campus Västra Skaraborg, Vara Anpassad utbildning;LIDKÖPINGS KOMMUN
53047724;Hyllievångsskolan;MALMÖ KOMMUN
79141503;JENSEN grundskola Eskilstuna;JENSEN EDUCATION COLLEGE AB
86175016;JENSEN grundskola Partille;JENSEN EDUCATION COLLEGE AB
